study_id,mext_code,school_name,yotsuya_deviation_value,establishment,school_type,area,prefecture,address,postal_code,study_url
B08C007,C108220890011,茨城県立竜ヶ崎第一高等学校附属中学校,50,公立中高一貫,共学校,茨城県,茨城県,茨城県龍ケ崎市平畑２４８,3010844,https://www.study1.jp/kanto/school/B08C007/
B12P008,C112310000039,昭和学院中学校,50,私立,共学校,千葉県,千葉県,千葉県市川市東菅野２－１７－１,2720823,https://www.study1.jp/kanto/school/B12P008/
B13P056,C113311300024,実践女子学園中学校,50,私立,女子校,東京23区,東京都,東京都渋谷区東１－１－１１,1500011,https://www.study1.jp/kanto/school/B13P056/
B11P020,C111321500014,西武学園文理中学校,50,私立,共学校,埼玉県,埼玉県,埼玉県狭山市柏原新田３１１－１,3501336,https://www.study1.jp/kanto/school/B11P020/
B12P014,C112310000066,千葉日本大学第一中学校,50,私立,共学校,千葉県,千葉県,千葉県船橋市習志野台８－３４－１,2740063,https://www.study1.jp/kanto/school/B12P014/
B15P040,C114313000068,桐光学園中学校男子部,50,私立,男子校,神奈川県,神奈川県,神奈川県川崎市麻生区栗木３－１２－１,2158555,https://www.study1.jp/kanto/school/B15P040/
B11P027,C111320100038,星野学園中学校,50,私立,共学校,埼玉県,埼玉県,埼玉県川越市石原町２－７１－１１,3500824,https://www.study1.jp/kanto/school/B11P027/
B15P056,C114310000117,横浜女学院中学校,50,私立,女子校,神奈川県,神奈川県,神奈川県横浜市中区山手町２０３,2318661,https://www.study1.jp/kanto/school/B15P056/
B14P003,C113320900038,桜美林中学校,49,私立,共学校,東京23区外,東京都,東京都町田市常盤町３７５８,1940294,https://www.study1.jp/kanto/school/B14P003/
B15P010,C114313000040,カリタス女子中学校,49,私立,女子校,神奈川県,神奈川県,神奈川県川崎市多摩区中野島４－６－１,2140012,https://www.study1.jp/kanto/school/B15P010/
B12P010,C112310000128,光英VERITAS中学校,49,私立,共学校,千葉県,千葉県,千葉県松戸市秋山６００,2700023,https://www.study1.jp/kanto/school/B12P010/
B11P010,C111310100011,埼玉栄中学校,49,私立,共学校,埼玉県,埼玉県,埼玉県さいたま市西区西大宮３丁目１１番地１,3310078,https://www.study1.jp/kanto/school/B11P010/
B11P019,C111320100047,城北埼玉中学校,49,私立,男子校,埼玉県,埼玉県,埼玉県川越市古市場５８５－１,3500014,https://www.study1.jp/kanto/school/B11P019/
B13P050,C113311600094,淑徳巣鴨中学校,49,私立,共学校,東京23区,東京都,東京都豊島区西巣鴨２－２２－１６,1700001,https://www.study1.jp/kanto/school/B13P050/
B15P020,C114320500013,湘南学園中学校,49,私立,共学校,神奈川県,神奈川県,神奈川県藤沢市鵠沼松が岡３－４－２７,2518505,https://www.study1.jp/kanto/school/B15P020/
B15P044,C114320500068,日本大学藤沢中学校,49,私立,共学校,神奈川県,神奈川県,神奈川県藤沢市亀井野１８６６,2520885,https://www.study1.jp/kanto/school/B15P044/
B13P004,C113312100015,足立学園中学校,48,私立,男子校,東京23区,東京都,東京都足立区千住旭町４０－２４,1200026,https://www.study1.jp/kanto/school/B13P004/
